CHROM	START	END	HUDSON_FST	N_VARIANTS
chr01	30019	40018	0.20727273	52
chr01	40019	50018	0.21014493	138
chr01	50019	60018	0.19391304	115
chr01	60019	70018	0.19862069	74
chr01	70019	80018	0.2	56
chr01	80019	90018	0.22222222	52
chr01	90019	100018	0.20122699	164
chr01	100019	110018	0.16097561	22
chr01	110019	120018	0.6	1
chr01	120019	130018	0.16440678	64
chr01	130019	140018	0.18996139	134
chr01	140019	150018	0.20634921	31
chr01	150019	160018	0.19473684	56
chr01	160019	170018	0.2	75
chr01	170019	180018	0.19183673	121
chr01	180019	190018	NA	0
chr01	190019	200018	NA	0
chr01	200019	210018	NA	0
chr01	210019	220018	NA	0
chr01	220019	230018	NA	0
chr01	230019	240018	NA	0
chr01	240019	250018	NA	0
chr01	250019	260018	NA	0
chr01	260019	270018	NA	0
chr01	270019	280018	NA	0
chr01	280019	290018	NA	0
chr01	290019	300018	NA	0
chr01	300019	310018	NA	0
chr01	310019	320018	NA	0
chr01	320019	330018	NA	0
chr01	330019	340018	0.68827586	75
chr01	340019	350018	0.65333333	33
chr01	350019	360018	0.69066667	42
chr01	360019	370018	0.6625	35
chr01	370019	380018	0.54482759	37
chr01	380019	390018	0.6556701	81
chr01	390019	400018	0.59069767	25
chr01	400019	410018	NA	0
chr01	410019	420018	NA	0
chr01	420019	430018	NA	0
chr01	430019	440018	NA	0
chr01	440019	450018	NA	0
chr01	450019	460018	NA	0
chr01	460019	470018	NA	0
chr01	470019	480018	NA	0
chr01	480019	490018	NA	0
chr01	490019	500018	NA	0
chr01	500019	510018	NA	0
chr01	510019	520018	NA	0
chr01	520019	530018	NA	0
chr01	530019	540018	0.41818182	8
chr01	540019	550018	0.57674419	99
chr01	550019	560018	0.6025641	76
chr01	560019	570018	0.50553191	86
chr01	570019	580018	0.53058568	163
chr01	580019	590018	0.47428571	80
chr01	590019	600018	NA	0
chr01	600019	610018	NA	0
chr01	610019	620018	NA	0
chr01	620019	630018	NA	0
chr01	630019	640018	NA	0
chr01	640019	650018	NA	0
chr01	650019	660018	NA	0
chr01	660019	670018	NA	0
chr01	670019	680018	NA	0
chr01	680019	690018	NA	0
chr01	690019	700018	NA	0
chr01	700019	710018	NA	0
chr01	710019	720018	NA	0
chr01	720019	730018	NA	0
chr01	730019	740018	NA	0
chr01	740019	750018	NA	0
chr01	750019	760018	NA	0
chr01	760019	770018	NA	0
chr01	770019	780018	NA	0
chr01	780019	790018	NA	0
chr01	790019	800018	NA	0
chr01	800019	810018	NA	0
chr01	810019	820018	NA	0
chr01	820019	830018	NA	0
chr01	830019	840018	NA	0
chr01	840019	850018	NA	0
chr01	850019	860018	NA	0
chr01	860019	870018	NA	0
chr01	870019	880018	NA	0
chr01	880019	890018	NA	0
chr01	890019	900018	NA	0
chr01	900019	910018	NA	0
chr01	910019	920018	NA	0
chr01	920019	930018	NA	0
chr01	930019	940018	NA	0
chr01	940019	950018	NA	0
chr01	950019	960018	NA	0
chr01	960019	970018	NA	0
chr01	970019	980018	NA	0
chr01	980019	990018	NA	0
chr01	990019	1000018	NA	0
chr01	1000019	1010018	NA	0
chr01	1010019	1020018	NA	0
chr01	1020019	1030018	NA	0
chr01	1030019	1040018	NA	0
chr01	1040019	1050018	NA	0
chr01	1050019	1060018	NA	0
chr01	1060019	1070018	NA	0
chr01	1070019	1080018	NA	0
chr01	1080019	1090018	NA	0
chr01	1090019	1100018	0.24166667	45
chr01	1100019	1110018	NA	0
chr01	1110019	1120018	NA	0
chr01	1120019	1130018	NA	0
chr01	1130019	1140018	NA	0
chr01	1140019	1150018	NA	0
chr01	1150019	1160018	NA	0
chr01	1160019	1170018	0.36996047	99
chr01	1170019	1180018	0.38071066	76
chr01	1180019	1190018	0.375	50
chr01	1190019	1200018	0.2032	62
chr01	1200019	1210018	0.20184332	108
chr01	1210019	1220018	0.2	65
chr01	1220019	1230018	0.2	43
chr01	1230019	1240018	0.2	40
chr01	1240019	1250018	0.20314465	158
chr01	1250019	1260018	0.20384615	79
chr01	1260019	1270018	NA	0
chr01	1270019	1280018	NA	0
chr01	1280019	1290018	NA	0
chr01	1290019	1300018	NA	0
chr01	1300019	1310018	NA	0
chr01	1310019	1320018	NA	0
chr01	1320019	1330018	NA	0
chr01	1330019	1340018	NA	0
chr01	1340019	1350018	NA	0
chr01	1350019	1360018	NA	0
chr01	1360019	1370018	NA	0
chr01	1370019	1380018	NA	0
chr01	1380019	1390018	NA	0
chr01	1390019	1400018	NA	0
chr01	1400019	1410018	NA	0
chr01	1410019	1420018	NA	0
chr01	1420019	1430018	NA	0
chr01	1430019	1440018	NA	0
chr01	1440019	1450018	0.35632184	70
chr01	1450019	1460018	0.20493827	80
chr01	1460019	1470018	NA	0
chr01	1470019	1480018	NA	0
chr01	1480019	1490018	NA	0
chr01	1490019	1500018	NA	0
chr01	1500019	1510018	NA	0
chr01	1510019	1520018	0.040909091	66
chr01	1520019	1530018	0.12	82
chr01	1530019	1540018	0.14672897	74
chr01	1540019	1550018	0.44019851	124
chr01	1550019	1560018	0.21161826	75
chr01	1560019	1570018	0.040963855	30
chr01	1570019	1580018	NA	0
chr01	1580019	1590018	NA	0
chr01	1590019	1600018	NA	0
chr01	1600019	1610018	NA	0
chr01	1610019	1620018	NA	0
chr01	1620019	1630018	NA	0
chr01	1630019	1640018	NA	0
chr01	1640019	1650018	NA	0
chr01	1650019	1660018	NA	0
chr01	1660019	1670018	NA	0
chr01	1670019	1680018	NA	0
chr01	1680019	1690018	NA	0
chr01	1690019	1700018	NA	0
chr01	1700019	1710018	NA	0
chr01	1710019	1720018	NA	0
chr01	1720019	1730018	2.9738117e-17	18
chr01	1730019	1740018	-0.046575342	166
chr01	1740019	1750018	0.062222222	58
chr01	1750019	1760018	0.19663866	73
chr01	1760019	1770018	0.13741007	88
chr01	1770019	1780018	0.52340426	73
chr01	1780019	1790018	0.85419355	132
chr01	1790019	1800018	0.84358974	67
chr01	1800019	1810018	0.76184971	41
chr01	1810019	1820018	0.70114286	91
chr01	1820019	1830018	0.4975	112
chr01	1830019	1840018	NA	0
chr01	1840019	1850018	NA	0
chr01	1850019	1860018	NA	0
chr01	1860019	1870018	NA	0
chr01	1870019	1880018	NA	0
chr01	1880019	1890018	NA	0
chr01	1890019	1900018	NA	0
chr01	1900019	1910018	NA	0
chr01	1910019	1920018	NA	0
chr01	1920019	1930018	NA	0
chr01	1930019	1940018	NA	0
chr01	1940019	1950018	NA	0
chr01	1950019	1960018	NA	0
chr01	1960019	1970018	NA	0
chr01	1970019	1980018	NA	0
chr01	1980019	1990018	NA	0
chr01	1990019	2000018	0.17876106	345
chr01	2000019	2010018	0.098148148	78
chr01	2010019	2020018	0.12796935	174
chr01	2020019	2030018	0.19457364	136
chr01	2030019	2040018	0.22139535	104
chr01	2040019	2050018	0.3	115
chr01	2050019	2060018	0.23367347	115
chr01	2060019	2070018	0.44979592	84
chr01	2070019	2080018	0.34358974	62
chr01	2080019	2090018	0.30938776	91
chr01	2090019	2100018	0.46375839	105
chr01	2100019	2110018	0.25128205	17
chr01	2110019	2120018	NA	0
chr01	2120019	2130018	NA	0
chr01	2130019	2140018	NA	0
chr01	2140019	2150018	NA	0
chr01	2150019	2160018	NA	0
chr01	2160019	2170018	NA	0
chr01	2170019	2180018	NA	0
chr01	2180019	2190018	NA	0
chr01	2190019	2200018	NA	0
chr01	2200019	2210018	NA	0
chr01	2210019	2220018	NA	0
chr01	2220019	2230018	NA	0
chr01	2230019	2240018	NA	0
chr01	2240019	2250018	NA	0
chr01	2250019	2260018	NA	0
chr01	2260019	2270018	NA	0
chr01	2270019	2280018	NA	0
chr01	2280019	2290018	NA	0
chr01	2290019	2300018	NA	0
chr01	2300019	2310018	NA	0
chr01	2310019	2320018	NA	0
chr01	2320019	2330018	NA	0
chr01	2330019	2340018	NA	0
chr01	2340019	2350018	NA	0
chr01	2350019	2360018	NA	0
chr01	2360019	2370018	NA	0
chr01	2370019	2380018	NA	0
chr01	2380019	2390018	NA	0
chr01	2390019	2400018	NA	0
chr01	2400019	2410018	NA	0
chr01	2410019	2420018	NA	0
chr01	2420019	2430018	NA	0
